가맹점명,주소
반포식스(판교역점),13524) 경기도 성남시 분당구 판교역로192번길 12 (삼평동) 2층 
세븐일레븐(오리역점),463870) 경기도 성남시 분당구 성남대로 383
GS25(분당오리역점),13636) 경기도 성남시 분당구 구미동 158하나이지타워1층107호 
GS25(분당포스빌점),13636) 경기도 성남시 분당구 구미동 156번지 분당포스빌오피스텔 101호 
메가MGC커피 (오리역점),"13637) 경기도 성남시 분당구 성남대로 38 , 케이엔에프코퍼레이션 1층 101호 (구미동) "
손에손잡고(판교직영점)_POS,"13524) 경기 성남 분당구 대왕판교로606번길 47 , 1층 102호"
파파존스(판교2테크노밸리점),13449) 경기도 성남시 수정구 창업로 17 (시흥동) 판교아이스퀘어 F동 B102호 파파존스
오장동흥남집(판교점),"13525) 경기도 성남시 분당구 동판교로177번길 25 (삼평동, 판교 호반 써밋 플레이스)  (삼평동, 판교 호반 써밋 플레이스) 106호 "
북창동순두부(판교파미어스몰점),13449) 경기도 성남시 수정구 창업로 18 (시흥동) P1동 209호 
빤닭빤닭(판교점),13449) 경기도 성남시 수정구 창업로 18 (시흥동) C1동 1층 117호 
카츠쇼신,"13525) 경기도 성남시 분당구 동판교로177번길 25 2층 204호(삼평동, 판교 호반 써밋 플레이스) "
메가MGC커피(판교위너스점),13453) 경기도 성남시 수정구 금토로80번길 51 (금토동) 메가엠지씨커피 판교위너스점 
주식회사 한상_QR,"13524) 경기도 성남시 분당구 판교역로 180 (삼평동) 1층 104,107~109호(삼평동,알파타워) "
바디쉐프(판교점),13449) 경기도 성남시 수정구 창업로 17 (시흥동) B동 3층 301-3호 
버거옥(판교역점),13529) 경기도 성남시 분당구 판교역로 138 (백현동) 1층 
샐러디(판교도시첨단점),13453) 경기도 성남시 수정구 금토로80번길 51 1층 105호 
판교 제일 순대국,13449) 경기도 성남시 수정구 창업로 43 (시흥동) B동 108호 
차엔,"13494) 경기도 성남시 분당구 판교역로 235 (삼평동) N동 1층 126호(삼평동,에이치스퀘어) "
느루집(판교아브뉴프랑점),"13525) 경기도 성남시 분당구 동판교로177번길 25 (삼평동, 판교 호반 써밋 플레이스) 2층 208호 "
소소떡볶이(분당수내점)_KIOSK,"13597) 경기 성남시 분당구 내정로165번길 50 ,1층110호(수내동,크리스탈빌딩)"
송도갈비천지연(판교브릿지타워점),13486) 경기도 성남시 분당구 판교로227번길 6 (삼평동) 1층 
런치포유_QR,13449) 경기도 성남시 수정구 창업로 43 (시흥동) B-110~112호 
패티바이번(판교알파돔타워점),13529) 경기도 성남시 분당구 판교역로 152 (백현동) 1층 패티바이번 
옥소반(판교역점),"13525) 경기도 성남시 분당구 대왕판교로606번길 58 1층 1-80, 1-81호 "
예술 작품을 빚다 비즐 ,13494) 경기도 성남시 분당구 판교역로 231 (삼평동) H스퀘어 S동 1층 126호 
핸드메이드,13494) 경기도 성남시 분당구 대왕판교로 660 (삼평동) 지하1층 B117호 
스시혼,"13525) 경기도 성남시 분당구 동판교로177번길 25 (삼평동, 판교 호반 써밋 플레이스) 1층137호 "
이치규 아브뉴프랑(판교점),"13525) 경기도 성남시 분당구 동판교로177번길 25 (삼평동, 판교 호반 써밋 플레이스) 2층 220호 "
런치스토리_QR,"13486) 경기도 성남시 분당구 판교로255번길 9-22 (삼평동) , B101호 일부 B102호(삼편동,우림W시티) "
죠죠 판교아브뉴프랑점_QR,"13525) 경기도 성남시 분당구 동판교로177번길 25 (삼평동, 판교 호반 써밋 플레이스) , 2층 223호(삼평동,판교 호반 써밋 플레이스) "
센터간식_QR,13211) 경기도 성남시 중원구 사기막골로62번길 33 (상대원동) (상대원동) 지하1층 RB104호
마케집,"13494) 경기도 성남시 분당구 대왕판교로 660 (삼평동) ,지하1층 B110~111호(삼평동, 유스페이스) "
"건강해, 샐러드_KIOSK","13486) 경기 성남시 분당구 판교로255번길 9-22, 2층 222호 "
"건강해, 샐러드",13486) 경기도 성남시 분당구 판교로255번길 9-22 (삼평동) 2층 
스테이키(분당정자점),13558) 경기도 성남시 분당구 정자일로 158 1층 112호 
이경진우렁쌈밥정식(정자점),"13558) 경기도 성남시 분당구 정자일로 158 정자동, 백궁프라자2, 2층205호 "
카페 마이티,"13558) 경기 성남시 분당구 정자로 13 109호 일부호(정자동, 월드비터빌딩) "
매머드익스프레스(분당두산타워점),"13558) 경기도 성남시 분당구 정자일로 158, 1층 107호 "
서혜커피_QR,13558) 경기도 성남시 분당구 정자일로156번길 6 뉴본타워 1층 
우마블,"13557) 경기도 성남시 분당구 정자일로 135, D동 1층 101호,102호(정자동3차 푸르지오 시티)"
브루클린더버거조인트(판교점),13529) 경기도 성남시 분당구 판교역로 166 (백현동) 1층 15호(백현동) 
북청집(2호점),13486) 경기도 성남시 분당구 판교로255번길 9-22 (삼평동) 지하1층 
그랑샌드,13529) 경기도 성남시 분당구 판교역로 136 (백현동) 그린존  B1111호 (힐스테이트판교역) 
명백집(분당점)_QR,13590) 경기도 성남시 분당구 황새울로 307 (서현동) 103호 
스시가오,13486) 경기도 성남시 분당구 판교로255번길 9-22 (삼평동) 2층 
커피커피커피_QR,13525) 경기도 성남시 분당구 대왕판교로606번길 58 (삼평동) 1층 1-25 커피커피커피 
(주)석문어판교역점,"13524) 경기도 성남시 분당구 판교역로192번길 22 (삼평동) 1층 102호, 103호"
솔솥(판교점),"13530) 경기도 성남시 분당구 대왕판교로606번길 10 (백현동, 알파리움1단지) 1층 "
본가광양불고기,13486) 경기도 성남시 분당구 판교로255번길 9-22 (삼평동) 2층 
오복수산(판교점),13529) 경기도 성남시 분당구 분당내곡로 131 (백현동) 2층 (백현동) 
헤이준쌀국수 판교알파돔점,13529) 경기도 성남시 분당구 판교역로 152 2층 10호
해우리(판교점),"13530) 경기 성남시 분당구 판교역로 145 백현동, 알파리움2단지 지하1층 122호외 "
마리앤마사(판교점),13488) 경기도 성남시 분당구 판교로319번길 13 삼평동 
동해강릉초당짬뽕순두부(파미어스몰점),13449) 경기 성남시 수정구 창업로 17 E동 206-2호 
뽀짜이빤,13557) 경기 성남시 분당구 정자동 16-2  108호 
(주)엔바이콘 왕스덕,13487) 경기도 성남시 분당구 대왕판교로645번길 36
오디너리 벗 써니컵케이크,"13530) 경기 성남시 분당구 대왕판교로606번길 10 백현동, 알파리움1단지 1층 111호 "
본죽&비빔밥cafe(판교역점),13524) 경기도 성남시 분당구 대왕판교로606번길 31
이에스에프피(ESFP)_QR,13449) 경기도 성남시 수정구 창업로 43 (시흥동) A동 1층 101호 
바삭돈카츠(서현점),"13591) 경기도 성남시 분당구 분당로53번길 14 (서현동) 1층(109호, 110호, 111호) "
행복한집숯불갈비,13494) 경기도 성남시 분당구 대왕판교로 670 2층 205호(삼평동) 
옛날그집,13493) 경기도 성남시 분당구 삼평동 678 A동B108호
해미옥(분당정자점),"13558) 경기도 성남시 분당구 성남대로331번길 7 2층 203호(정자동, 정자스타빌딩)"
문막집,"13494) 경기 성남시 분당구 대왕판교로 660, 1층 128호 삼평동, 유스페이스1 "
보배반점(판교테크노밸리점),13493) 경기도 성남시 분당구 판교역로 240 삼환하이펙스A동 128호 1층 
락앤웍,13494) 경기 성남시 분당구 판교역로 231 삼평동 에이치스퀘어 에스동 B107호 
홍콩반점(분당수내점),463825) 경기도 성남시 분당구 백현로101번길 16 대덕프라자 2층
풍경한식뷔페_QR,"13449) 경기도 성남시 수정구 창업로 42 (시흥동) 1층 114호, 115호, 116호"
훅트포케(판교점),13530) 경기도 성남시 분당구 판교역로 145 2층 224호 
이야기둘,13488) 경기도 성남시 분당구 판교로319번길 13 삼평동 113호 
엠에스생감자치킨_KIOSK,12345) 경기도 성남시 분당구 판교역로 230 (삼평동) 삼환하이펙스B동 103호 
크레스타운(판교점),"13524) 경기도 성남시 분당구 판교역로192번길 12 1층 105호,106호 "
아워홈(분당두산타워_C코너점),"13557) 경기도 성남시 분당구 정자일로 155, 지하1층, 지상7층 (정자동,분당두산타원) "
매드포갈릭 (판교라스트리트점),"13530) 경기도 성남시 분당구 대왕판교로606번길 10 백현동, 알파리움1단지, 2층 "
라운지엑스(두산분당센터점),13557) 경기도 성남시 분당구 정자일로 155 분당두산타워 1층
닥터로빈 시그니쳐(판교점),"13525) 경기 성남시 분당구 동판교로177번길 25 삼평동, 판교 호반 써밋 플레이스, 1층 "
유브유부(테크원점),13529) 경기도 성남시 분당구 분당내곡로 131 판교테크원타워 지하1층 
옵션스페셜티커피(판교우림더블유시티점),13486) 경기도 성남시 분당구 판교로255번길 9-22 (삼평동) 1층 142호 
아워홈(분당두산타워_B코너점),"13557) 경기도 성남시 분당구 정자일로 155, 지하1층, 지상7층 (정자동,분당두산타원) "
풀무원(인터파크 사내식당 B),13453) 경기 성남시 수정구 금토로 70 텐엑스타워 
양재식당(판교점),"13524) 경기 성남시 분당구 분당내곡로 151 삼평동, 1층 "
본우리반상(판교우림W시티점),"13486) 경기도 성남시 분당구 판교로255번길 9-22 (삼평동, 판교 우림 W-CITY) 2층 "
투고샐러드(판교유스페이스점),"13494) 경기도 성남시 분당구 대왕판교로 660 2층 230호(삼평동, 유스페이스1) "
빽다방(판교역점),13524) 경기도 성남시 분당구 대왕판교로606번길 31 104호(삼평동) 
아워홈(분당두산타워_A코너점),"13557) 경기도 성남시 분당구 정자일로 155, 지하1층, 지상7층 (정자동,분당두산타원) "
뚜레쥬르(판교파미어스몰점),13449) 경기도 성남시 수정구 창업로 17 (시흥동) 파미어스몰 103-2 
밥이랑커피랑,"13530) 경기 성남시 분당구 판교역로 145 백현동, 알파리움2단지, 지하1층 "
송추가마골인어반(판교점),"13530) 경기 성남시 분당구 판교역로 145 백현동, 알파리움2단지 "
하림(판교벤처밸리B),54517) 경기도 성남시 분당구 판교로228번길 15
JVL부대찌개(판교아이스퀘어점),13449) 경기도 성남시 수정구 창업로 17 (시흥동) 2층 206-3호 
"1,2,3 카페",13558) 경기 성남시 분당구 정자로 13 101호(정자동) 
람바다,"13524) 경기 성남시 분당구 판교역로 184 2층, 202호 (삼평동 JS타워) "
띠아모플라워&커피데이,"13530) 경기도 성남시 분당구 대왕판교로606번길 10 110호 (백현동, 알파리움1단지) "
닭갈비야(판교점),12345) 경기도 성남시 분당구 대왕판교로 670 B동 지하1층 114호
일로집(판교직영점),"13524) 경기 성남시 분당구 판교역로192번길 14-1, 1층 105호 (삼평동, 판교예미지) "
삼산회관(판교유스페이스점),"13494) 경기 성남시 분당구 대왕판교로 660, 지하1층 삼평동, 유스페이스1 "
역전우동0410(판교역점),13524) 경기 성남시 분당구 대왕판교로606번길 31 1층 102호(삼평동) 
데이롱카페(분당두산타워점)_KIOSK,"13557) 경기도 성남시 분당구 정자일로 155 , 24층 일부호(분당두산타워) "
아티제(판교알파리움점),"13530) 경기도 성남시 분당구 대왕판교로606번길 10 백현동, 알파리움1단지 라 스트리트 1동 1F 101호,102호"
양우양꼬치 점심뷔페(순수유통),"13494) 경기 성남시 분당구 대왕판교로 660 삼평동, 유스페이스1 "
일리에 콩브레,"13558) 경기 성남시 분당구 느티로 22 정자동, 백궁동양파라곤 "
(주)엔바이콘 용가리치킨,13487) 경기 성남시 분당구 대왕판교로645번길 36 삼평동 1층
투썸플레이스(판교만도점),13486) 경기도 성남시 분당구 판교로255번길 21 (삼평동) 1층 
김치도가(판교테크노밸리점),13494) 경기도 성남시 분당구 판교역로 240 삼환하이펙스A동 B104
할리스커피(동판교M타워점),"13494) 경기도 성남시 분당구 판교역로241번길 22, 1층 할리스커피 동판교M타워점 "
동촌칼국수,51357) 경남 창원시 마산회원구 합성남 3길39 마산합성동 터미널 뒤편
스마일쿡,"13494) 경기 성남시 분당구 판교역로 231 삼평동, 에이치스퀘어 에스동 B1 112호 "
진차이객잔,13494) 경기도 성남시 분당구 대왕판교로 660 B-128호 유스페이스1
이가네양꼬치(판교본점),"13524) 경기 성남시 분당구 분당내곡로 155 삼평동, 1층 "
홍호아(판교점)_KIOSK,13494) 경기 성남시 분당구 판교역로 231 H스퀘어 S동 B1층 114호(삼평동)
백소정(판교점),"13493) 경기도 성남시 분당구 판교역로 240 109, 110호(삼평동, 삼환하이펙스A동) "
모랑해물솥밥(정자역점),13557) 경기 성남시 분당구 정자일로 197 정자동 
섬맛의공방((주)아일랜드홀딩스),"13530) 경기도 성남시 분당구 대왕판교로606번길 10 타워 1동 132호, 138호(백현동, 알파리움1단지)"
삼김화로구이_QR,"13558) 경기도 성남시 분당구 느티로 16 (정자동) 2층 206호, 207호, 208호 "
봉추찜닭(판교테크노밸리점),"13494) 경기도 성남시 분당구 대왕판교로 670 (삼평동, 유스페이스2)  219호 "
자연횟집(판교점),"13494) 경기도 성남시 분당구 판교역로 235, 1층 삼평동, 에이치스퀘어 엔동 "
아워홈(분당두산타워_D코너점),"13557) 경기도 성남시 분당구 정자일로 155, 지하1층, 지상7층 (정자동,분당두산타원) "
(주)엔바이콘 순우가,13487) 경기도 성남시 분당구 대왕판교로645번길 36
까몬(판교아브뉴프랑점),"13525) 경기도 성남시 분당구 동판교로177번길 25 1층 101호, 102호(삼평동, 판교 호반 써밋 플레이스) "
고고스판교 (GOGOS),"13530) 경기도 성남시 분당구 판교역로 145, 1층, 119, 120호"
블루포트(경기창조경제혁신센터점),13487) 경기도 성남시 분당구 대왕판교로645번길 12  1층 일부(삼평동) 
슈퍼타이(판교테크노벨리점),"13488) 경기 성남시 분당구 판교로319번길 13 1층 115호(삼평동, 디테라스) "
판교한방삼계탕,"13529) 경기도 성남시 분당구 판교역로 152 지하1층 B1-7호 B1-8호(백현동, 알파돔타워)"
신라마라탕(판교점),"13494) 경기도 성남시 분당구 판교역로 231 삼평동, 에이치스퀘어 에스동 "
만랩커피(판교알파돔시티점),13530) 경기도 성남시 분당구 판교역로 145 1층 124호 
차고145,"13530) 경기 성남시 분당구 판교역로 145 백현동, 알파리움2단지 1층 108호 "
탕탕가,"13558) 경기도 성남시 분당구 정자일로 158 정자동, 백궁프라자2,2층205호 "
춘업순대국과 0627 부대찌개,12373) 경기도 성남시 분당구 판교로255번길 9-22 (삼평동) 우림W city 215 호 
삼성웰스토리(주)코리아벤쳐타운,13493) 경기도 성남시 분당구 대왕판교로644번길 49 코리아벤처타운
배키욘방(판교직영점)_KIOSK,"13530) 경기 성남시 분당구 대왕판교로606번길 10 1층 129호, 130호, 131호 알파리움1단지 "
이백소면,"13524) 경기도 성남시 분당구 대왕판교로606번길 31 삼평동, 1층 "
옥된장(오리점),"13637) 경기도 성남시 분당구 구미로9번길 3-10 1층 101호, 102호(구미동, 글로리타워) "
육대장(판교점),13493) 경기도 성남시 분당구 판교역로 230
울프스덴,13494) 경기도 성남시 분당구 대왕판교로 660 215호 유스페이스1
사위식당(판교점),"13529) 경기 성남시 분당구 판교역로 152 백현동, 알파돔타워, 2층 "
린지커피라운지_QR,13449) 경기도 성남시 수정구 창업로 43 (시흥동) 1층 A-102호 
하파 (판교점),"13530) 경기 성남시 분당구 판교역로 145 백현동, 알파리움2단지, 2층 204,205호 "
신전떡볶이(서현점),"13591) 경기 성남시 분당구 분당로53번길 21, 202호 서현동, 산호프라자 "
맥도날드(판교테크노밸리점),13494) 경기도 성남시 분당구 판교역로 231 (삼평동) 맥도날드(판교테크노밸리) 
토속상황삼계탕,13494) 경기도 성남시 분당구 대왕판교로 670 225호 유스페이스2
하루엔소쿠(판교점),13449) 경기 성남시 수정구 창업로 42 제2테크노밸리 1층 121호 돈까스 맛집 하루엔소쿠 
에스이커피(유스페이스점),"13494) 경기 성남시 분당구 대왕판교로 670, 1층 118호 삼평동, 유스페이스2 "
(주)엔바이콘 혼키라멘,13487) 경기도 성남시 분당구 대왕판교로645번길 36
랩타임(판교테크노밸리점),13493) 경기 성남시 분당구 판교역로 230 삼평동
덕후선생(판교),"13525) 경기 성남시 분당구 동판교로177번길 25 삼평동, 판교 호반 써밋 플레이스 2층 233-2호, 234호, 235호"
맥도날드(동판교점),13525) 경기도 성남시 분당구 대왕판교로606번길 58 (삼평동) 맥도날드(동판교) 
주식회사 딜라잇,"13493) 경기 성남시 분당구 대왕판교로644번길 49 지하2층 (삼평동, 한컴타워) "
코이라멘(판교점),"13493) 경기도 성남시 분당구 판교역로 230 B동 지하층 B113호(삼평동,삼환하이펙스) "
헤비스테이크(판교테크노밸리점),"13494) 경기 성남시 분당구 판교역로 231, 1층 107호 삼평동, 에이치스퀘어 에스동 "
목포명가 판교점,"13524) 경기도 성남시 분당구 분당내곡로 159 (삼평동) 에이동 113, 114호"
카페킹스가든,13493) 경기도 성남시 분당구 판교역로 230 (삼평동) B동 107호 
카페버니,13524) 경기도 성남시 분당구 판교역로192번길 16 (삼평동) 1층 115호
미미순대국,"13637) 경기도 성남시 분당구 구미로9번길 8 (구미동, 세종그랑시아｜) 103호 "
샤브촌by계백집(판교점),"13530) 경기도 성남시 분당구 대왕판교로606번길 10 (백현동, 알파리움1단지) 217~218호(백현동, 알파리움 제타워1동) "
소바니우동,13494) 경기도 성남시 분당구 대왕판교로 660 (삼평동) 지하1층 b동122호 
평안_QR,13493) 경기도 성남시 분당구 판교역로 240 (삼평동) a동 b1 26-1 호  평안 
플링크 판교,13529) 경기도 성남시 분당구 판교역로 166 (백현동) 1층 12호 
위칭아워 2호점,13529) 경기도 성남시 분당구 판교역로 136 (백현동) 지하2층 B2056호
하나샤브샤브(판교점),"13525) 경기도 성남시 분당구 동판교로177번길 25 (삼평동, 판교 호반 써밋 플레이스) 2층 210호,211호 "
더 타코부스 분당판교역점,13525) 경기도 성남시 분당구 대왕판교로606번길 58 (삼평동) 1층 65호 
권오덕스시(오리역본점),13637) 경기도 성남시 분당구 구미로9번길 25 (구미동) 103-2호 
등촌샤브칼국수(판교대장점),13544) 경기도 성남시 분당구 판교대장로7길 6-19 (대장동) 1층 
카페 루시에,"13594) 경기도 성남시 분당구 수내로 39 (수내동, 분당지웰푸르지오) 1층 119-2호 카페루시에 "
찬,13494) 경기도 성남시 분당구 대왕판교로 660 (삼평동) B동 157호158호 
커피나인(판교삼환하이펙스점),13493) 경기도 성남시 분당구 판교역로 230 (삼평동) 삼환하이펙스 B동 1층 102호 
카페소시올로지,"13530) 경기도 성남시 분당구 판교역로 145 (백현동, 알파리움2단지) 알파리움2타워 1층 104호 "
옵션스페셜티커피(판교유스페이스점),13494) 경기도 성남시 분당구 대왕판교로 670 (삼평동) B동 1층 111호 
리듬앤버거,13524) 경기도 성남시 분당구 판교역로192번길 14-2 (삼평동) 2층 12호
찌개주는 낭만불백,"13486) 경기도 성남시 분당구 판교로255번길 9-22 (삼평동, 판교 우림 W-CITY) 2층 225호소호면가 "
더베이글마켓,13529) 경기도 성남시 분당구 판교역로 136 (백현동) 1032호 
아이가사,13524) 경기도 성남시 분당구 판교역로192번길 22 (삼평동) 118호 아이가사 
하즈벤(판교역)_QR,13529) 경기도 성남시 분당구 판교역로 136 (백현동) 1층 1002호 
명동칼국수 샤브샤브 판교테크노밸리점,"13494) 경기도 성남시 분당구 판교역로 231 (삼평동) 지하1층 B131호, B132호(에이치스퀘어 에스동)"
아방베이커리 소호 판교 카카오점,13529) 경기도 성남시 분당구 판교역로 166 (백현동) 1층 3호
어글리버터_QR,13493) 경기도 성남시 분당구 판교역로 230 (삼평동) 삼환하이펙스 B동 123호
새마을식당(판교점),13494) 경기도 성남시 분당구 대왕판교로 670 (삼평동) 215호
풍천숯불재벌장어,13494) 경기도 성남시 분당구 대왕판교로 660 유스페이스1 103-1호
이가네양파이(판교점),"13530) 경기도 성남시 분당구 판교역로 145 백현동, 알파리움2단지 1층 "
쿠차라(판교카카오점),13529) 경기도 성남시 분당구 판교역로 166 카카오 1층9호 
스타벅스(판교역로점),13524) 경기도 성남시 분당구 삼평동 663 리치투게더센터 1~2층 
스타벅스(판교HIPEX점),13493) 경기도 성남시 분당구 삼평동 679번지 판교 삼환 HIPEX 
스타벅스(판교H스퀘어점),13494) 경기도 성남시 분당구 삼평동 680번지 H스퀘어 
스타벅스(정자상떼뷰점),13556) 경기도 성남시 분당구 정자동 12-2 성원상떼뷰리젠시 201-101 
스타벅스(수진역점),13345) 경기도 성남시 수정구 신흥동 6910 일문파이낸스빌딩 1층 일부 
스타벅스(판교역힐스테이트점),"13529) 경기도 성남시 분당구 백현동 540,  판교힐테이트 1092~1095호 "
스타벅스(남위례역점),13646) 경기도 성남시 수정구 창곡동 560-1 위례우남역 퍼스트푸르지오시티 
스타벅스(판교아이스퀘어점),13449) 경기도 성남시 수정구 시흥동 296-3외 4필지 판교아이스퀘어 제1층 106호 
스타벅스(판교유스페이스점),13494) 경기도 성남시 분당구 삼평동 670 유스페이스1 
스타벅스(야탑역사거리점),13517) 경기도 성남시 분당구 야탑동 514-2 뉴젠빌원룸텔 
스타벅스(판교알파돔타워점),13529) 경기도 성남시 분당구 백현동 537 
스타벅스(판교아비뉴프랑R점),13525) 경기도 성남시 분당구 삼평동 740 판교 호반 써밋 플레이스 
스타벅스(판교알파돔시티점),"13530) 경기도 성남시 분당구 백현동 530번지 타워2동 1층, 138~142호 "
스타벅스(판교브릿지타워점),13486) 경기도 성남시 분당구 삼평동 617 브릿지타워 
마마문스(판교본점),"13530) 경기 성남시 분당구 판교역로 145 백현동, 알파리움2단지, 2층 "
최호만두_QR,13556) 경기도 성남시 분당구 정자일로 227 (정자동) 1층 109호
정자골,"13555) 경기도 성남시 분당구 정자일로 210 정자동, 동양정자파라곤  2단지상가 지하101호 "
핑거크로스,"13525) 경기도 성남시 분당구 동판교로177번길 25 , 1층 114호"
바스버거(판교테크노밸리점),13494) 경기도 성남시 분당구 대왕판교로 660 (삼평동) 지하1층 B128-3호 
이경진우렁쌈밥정식(정자점),"13558) 경기도 성남시 분당구 정자일로 158 정자동, 백궁프라자2, 2층205호 "
카페우드진(판교테크노밸리점),"13494) 경기 성남시 분당구 대왕판교로 660 2층 224호(삼평동, 유스페이스1) "
여의나룻(판교점),"13529) 경기도 성남시 분당구 분당내곡로 131,  2층 일부호(백현동)"
본죽(동판교점) RLGCGZ,13492) 경기도 성남시 분당구 판교로 374  스타식스코아2 104호 
오한수 우육면가( 판교점),13494) 경기도 성남시 분당구 판교역로 231 지하1층 B103호 (삼평동 에이치스퀘어 에스동) 
펠리스산쵸,"13558) 경기 성남시 분당구 정자일로 192, 1층 106호 (정자동, 지.파크프라자) "
흥도식당,"13529) 경기도 성남시 분당구 분당내곡로 131 2층 12호(백현동, 판교테크윈타워) "
찌마기(판교역점),"13530) 경기도 성남시 분당구 대왕판교로606번길 10 1층 139호(백현동, 알파리움1단지) "
스시집 막내아들,13529) 경기도 성남시 분당구 판교역로 136 백현동 1층 1037호(힐스테이트) 
수수커피(판교알파돔타워점),"13529) 경기 성남시 분당구 판교역로 152 백현동, 알파돔타워 1층 8호 "
요거트퍼플(판교역점)_KIOSK,"13529) 경기도 성남시 분당구 판교역로 136 , 1층 1088호"
아웃백(판교점),"13529) 경기 성남시 분당구 분당내곡로 131, 지하 1층 백현동 "
양우정(판교점),"13530) 경기도 성남시 대왕판교로606번길 10, 1층 112,113,114호(백현동,알파리움1단지) "
압구정김치찌개,13486) 경기도 성남시 분당구 판교로255번길 9-22 판교 우림 W-CITY 207호 
뚜레쥬르(성남하나로마트점),"13635) 경기도 성남시 분당구 성남대로43번길 11 (구미동,농수산물종합유통센터) 1층 뚜레쥬르 "
하이보(판교점),"13524) 경기 성남시 분당구 판교역로192번길 14-1 삼평동, 판교예미지 2층 "
카페무아르,13493) 경기도 성남시 분당구 판교역로 230 삼평동 B동 118호 
우영관,13529) 경기도 성남시 분당구 분당내곡로 117 2층 202호 
